word,pronunciation,part_of_speech,meaning_vi,example_en,example_vi,topic,level,image_url,collocations,synonyms,antonyms
brand,/brænd/,n.,"Nhãn hiệu, nhãn hàng, chi nhánh",All brands of aspirin are the same.,Mọi nhãn hiệu về thuốc giảm đau aspirin là như nhau.,Quality Control,B1,https://audio.tflat.vn/data/cache/images/300x225/b/r/brand2.png,,,
conform,/kən'fɔ:m/,v.,"Làm cho phù hợp, làm cho thích hợp",Our safety standards conform to those established by the government.,Các tiêu chuẩn an toàn của chúng tôi phù hợp với những tiêu chuẩn được thiết lập bởi chính phủ.,Quality Control,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/conform1.png,,,
defect,/di'fekt/,n.,"Khuyết điểm, sai sót","Because of a defect in cable, the phone was returned.",Vì một lỗi ở dây cáp nên chiếc điện thoại đã được trả lại. ,Quality Control,B1,https://audio.tflat.vn/data/images_example/300x225/b/e/because_of_ex1_580ec40d7f8b9ae2888b4579.jpg,,,
enhance,/in'hɑ:ns/,v.,"Nâng cao, tăng cường",This is an opportunity to enhance the reputation of the company.,Đây là cơ hội để nâng cao danh tiếng của công ty.,Quality Control,B1,https://audio.tflat.vn/data/cache/images/300x225/e/n/enhance2.png,,,
garment,/'gɑ:mənt/,n.,Quần áo,Portland garment factory was established in 2008.,Nhà máy may ở Portland (tiểu bang của Mỹ) đã được thành lập năm 2008.,Quality Control,B1,https://audio.tflat.vn/data/cache/images/300x225/g/a/garment2.png,,,
inspect,/in'spekt/,v.,"Thanh tra, kiểm tra, xem xét kỹ",Children's car seats are thoroughly inspected and tested for safety before being put on the market.,Chổ ngồi trên xe ô-tô của trẻ em được kiểm tra và kiểm nghiệm kỹ lưỡng trước khi có mặt trên thị trường.,Quality Control,B1,https://audio.tflat.vn/data/images_example/300x225/c/h/childrens__ex1_580ec4117f8b9ae2888b457f.png,,,
perceptive,/pə'septiv/,adj.,"Nhận thức được, cảm giác được, cảm thụ được",It takes a perceptive person to be a good manager.,Phải là một người có khả năng cảm nhận mới trở thành một nhà quản lý tốt.,Quality Control,B1,https://audio.tflat.vn/data/cache/images/300x225/p/e/perceptive2.png,,,
repel,/ri'pel/,v.,Làm khó chịu,Faulty products repel repeat customers.,Những sản phẩm lỗi lại gây khó chịu cho khách hàng.,Quality Control,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/repel2.png,,,
take back,/teɪk bæk/,v.,"Lấy lại, mang trở lại",The quality inspector took the shoddy work back to the assembly line to confront the workers.,Thanh tra chất lượng đem sản phẩm xấu trở lại dây chuyền lắp ráp để đối chất với công nhân.,Quality Control,B1,https://audio.tflat.vn/data/cache/images/300x225/t/a/take_back1.png,,,
throw out,/θrəʊ aʊt/,v.,"Vứt bỏ, đuổi đi",You'll be thrown out if you don't pay the rent.,Bạn sẽ được đuổi ra nếu bạn không trả tiền thuê nhà.,Quality Control,B1,https://audio.tflat.vn/data/cache/images/300x225/t/h/throw_out1.png,,,
uniformly,/ˈjuːnɪfɔːmli/,adv.,"Đồng đều thống nhất, không thay đổi",The principles were applied uniformly across all the departments.,Các nguyên tắc được áp dụng thống nhất trên tất cả các phòng ban.,Quality Control,B1,https://audio.tflat.vn/data/cache/images/300x225/u/n/uniformly2.png,,,
wrinkle,/'riɳkl/,n.,"‹vếp/nếp› nhăn, nhàu",A wrinkle in the finish can be repaired more economically before a sale than after.,Một vết nhăn trong (sản phẩm) hoàn chỉnh thì có thể sửa chữa trước khi bán có giá hơn là sau đó.,Quality Control,B1,https://audio.tflat.vn/data/cache/images/300x225/w/r/wrinkle2.png,,,
health,/hɛlθ/,n.,Sức khỏe,Exhaust fumes are bad for your health.,Khí thải có hại cho sức khỏe của bạn.,Health,B1,https://audio.tflat.vn/data/images_example/300x225/e/x/exhaust_fu_ex2_581c093f7f8b9a24318b45fe.jpg,,,
allow,/ə'lau/,v.,"Cho phép, chấp nhận",My insurance does not allow choosing my own hospital.,Hợp đồng bảo hiểm của tôi không cho lựa chọn bệnh viện theo ý riêng của tôi. ,Health,B1,https://audio.tflat.vn/data/cache/images/300x225/a/l/allow1.jpg,,,
alternative,/ɔ:l'tə:nətiv/,adj.,"Xen kẽ, thay thế, luân phiên",Have you thought of an alternative plan?,Bạn đã nghĩ đến kế hoạch thay thế chưa?,Health,B1,https://audio.tflat.vn/data/cache/images/300x225/a/l/alternative.jpg,,,
aspect,/ˈæspekt/,n.,Khía cạnh,She felt she had looked at the problem from every aspect.,Cô ấy cảm thấy rằng cô ấy đã nhìn nhận vấn đề từ mọi khía cạnh.,Health,B1,https://audio.tflat.vn/data/cache/images/300x225/a/s/aspect1.jpg,,,
concern,/kənˈsɜːn/,n.,"Mối quan tâm, lo lắng","Whenever I have health concerns, I call my doctor.","Hễ khi nào tôi có lo ngại về sức khỏe, tôi gọi cho bác sĩ của mình.",Health,B1,https://audio.tflat.vn/data/images_example/300x225/w/h/whenever_i_ex1_56248cfc7f8b9afa0cb17fd8.jpg,,,
emphasize,/ˈɛmfəˌsaɪz/,v.,"Nhấn mạnh, làm nổi bật",The nurse emphasized the importance of eating a balanced diet.,Người y tá nhấn mạnh tầm quan trọng của việc ăn uống theo chế độ cân bằng.,Health,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_nurse__ex1_56248d167f8b9a040dc66284.png,,,
incur,/in'kə:/,v.,"Gánh chịu,bị",I incurred substantial expenses that my health plan does not cover.,Tôi phải gánh những chi phí phát sinh mà dự án chăm sóc sức khỏe của tôi không bao gồm.,Health,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/incur1.png,,,
personnel,"/,pə:sə'nel/",n.,Nhân viên,The employee went to see the director of personnel about taking an extended leave of absence.,Người nhân viên đi gặp giám đốc nhân sự về việc xin gia hạn thời gian nghỉ phép.,Health,B1,https://audio.tflat.vn/data/cache/images/300x225/p/e/personnel1.png,,,
policy,/'pɔlisi/,n.,"Chính sách, hợp đồng, khế ước",The company's insurance policy did not cover cosmetic surgery.,Chính sách bảo hiểm của công ty không bao gồm phẫu thuật thẩm mỹ.,Health,B1,https://audio.tflat.vn/data/cache/images/300x225/p/o/policy1.png,,,
portion,/'pɔ:ʃn/,n.,"Chia phần, số phận",A portion of my benefits is my health care coverage.,Một phần phúc lợi của tôi là bảo hiểm chăm sóc sức khỏe.,Health,B1,https://audio.tflat.vn/data/cache/images/300x225/p/o/portion1.jpg,,,
regardless,/ri'gɑ:dlis/,adv.,"Không quan tâm, bất chấp","Regardless of the cost, we all need health insurance.","Bất chấp phí tổn, tất cả chúng tôi đều cần bảo hiểm y tế.",Health,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/regardless1.png,,,
salary,/ˈsæləri/,n.,Lương hàng tháng,The technician was pleased to have a raise in salary after only six months on the job.,Người kỹ thuật viên đã hài lòng khi có sự tăng lương chỉ sau 6 tháng làm việc.,Health,B1,https://audio.tflat.vn/data/cache/images/300x225/s/a/salary1.png,,,
suit,/sju:t/,v.,"Phù hợp với, thích hợp với",I have finally found a health plan that suits my needs.,Rốt cuộc thì tôi đã tìm ra một dự án chăm sóc sức khỏe (mà) phù hợp với nhu cầu của tôi.,Health,B1,https://audio.tflat.vn/data/cache/images/300x225/s/u/suit1.png,,,
affordable,/əˈfɔːdəbəl/,adj.,Có đủ điều kiện tiền bạc,The company's first priority was to find an affordable phone system.,Ưu tiên trước hết của công ty là tìm một hệ thống điện thoại có đủ khả năng (hoạt động).,Office Technology,B1,https://audio.tflat.vn/data/cache/images/300x225/a/f/affordable1.jpg,,,
as needed,/az niːdɪd/,adv.,Lúc cần thiết,The service contract states that repairs will be made on a basis as needed.,Hợp đồng dịch vụ nói rằng việc sửa chữa sẽ được thực hiện dựa trên cơ sở lúc cần thiết.,Office Technology,B1,https://audio.tflat.vn/data/cache/images/300x225/a/s/as_needed2.jpg,,,
be in charge of,/bi: ɪn tʃɑːdʒ əv/,v.,Chịu trách nhiệm về ,He appointed someone to be in charge of maintaining a supply of paper in the fax machine.,Ông ấy chọn người nào đó chịu trách nhiệm duy trì việc cung cấp giấy cho máy fax.,Office Technology,B1,https://audio.tflat.vn/data/cache/images/300x225/b/e/be_in_charge_of1.png,,,
capacity,/kə'pæsiti/,n.,"Sức chứa, dung tích",The new conference room is much larger and has a capacity of one hundred people.,Phòng họp mới thì lớn hơn nhiều (phòng cũ) và có khả năng chứa được một trăm người.,Office Technology,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_new_co_ex1_56248d0b7f8b9a000de3cf4d.jpg,,,
durable,/ˈdjʊərəbl/,adj.,"Bền, lâu",These chairs are more durable than the first ones we looked at.,Những cái ghế này bền hơn nhiều những cái ghế đầu tiên mà chúng ta đã thấy.,Office Technology,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/these_chai_ex1_56248d157f8b9a040dc65e1c.jpg,,,
initiative,/i'niʃiətiv/,n.,"Bước khởi đầu, sự khởi xướng",Take the initiative and engage your classmates in friendly conversation.,Hãy khởi xướng và thu hút các bạn cùng lớp tham gia vào một cuộc nói chuyện thân thiện.,Office Technology,B1,https://audio.tflat.vn/data/images_example/300x225/t/a/take_the_i_ex1_56248d127f8b9a020d261a10.jpg,,,
physically,/ˈfɪzɪkli /,adv.,"Về thân thể, thể chất ",The computer screen is making her physically sick.,Màn hình máy tính khiến cho cô ta khó chịu về mặt thể chất.,Office Technology,B1,https://audio.tflat.vn/data/cache/images/300x225/p/h/physically2.jpg,,,
provider,/prəˈvaɪdə(r)/,n.,Nhà cung cấp ,The department was extremely pleased with the service they received from the phone provider.,Bộ phận hết sức hài lòng với dịch vụ mà họ nhận được từ nhà cung cấp dịch vụ điện thoại.,Office Technology,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/provider1.png,,,
recur,/ri'kə:/,v.,"Tái diễn, lặp đi lặp lại",The managers did not want that particular error to recur.,Các trưởng phòng không muốn những lỗi cá biệt đó lại tái diễn.,Office Technology,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/recur2.jpg,,,
reduction,/ri'dʌkʃn/,n.,"Sự giảm, thu nhỏ",The outlet store gave a 20 percent reduction in the price of the shelves and bookcases.,Cửa hàng tiêu thụ đã giảm giá 20% với các kệ sách và tủ sách.,Office Technology,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/reduction1.jpg,,,
stay on top of,/steɪ ɒn tɒp əv/,v.,Nắm bắt tình hình ,"In this industry, you must stay on top of current developments.","Trong ngành công nghiệp này, anh phải nắm bắt được tình hình về các diễn biến hiện tại.",Office Technology,B1,https://audio.tflat.vn/data/cache/images/300x225/s/t/stay_on_top_of2.jpg,,,
stock,/stɒk/,v.,Trữ hàng,The employees stocked the shelves on a weekly basis.,Các nhân viên trữ hàng lên kệ căn cứ theo mỗi tuần.,Office Technology,B1,https://audio.tflat.vn/data/cache/images/300x225/s/t/stock1.png,,,
conduct,/'kɔndəkt/,v.,"Tiến hành, cư xử",Interviews were conducted over a period of three weeks.,Các cuộc phỏng vấn được tổ chức trong suốt giai đoạn kéo dài 3 tuần.,Hiring and Training,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/conduct1.jpg,,,
generate,/'dʤenəreit/,v.,"Làm ra, tạo ra, phát ra",The new training program generated a lot of interest among employees.,Chương trình huấn luyện mới đã tạo ra nhiều lợi ích cho mỗi nhân viên.,Hiring and Training,B1,https://audio.tflat.vn/data/cache/images/300x225/g/e/generate1.png,,,
hire,/'haiə/,v.,"Thuê, mướn; tiền trả công",She was hired after her third interview.,Cô ta đã được thuê sau lần phỏng vấn thứ ba.,Hiring and Training,B1,https://audio.tflat.vn/data/cache/images/300x225/h/i/hire1.jpg,,,
keep up with,/kiːp ʌp wɪð/,v.,"Theo kịp, bắt kịp, đạt cho bằng được",Employees are encouraged to take courses in order to keep up with new developments.,Nhân viên được khuyến khích tham dự các khóa đào tạo để theo kịp sự phát triển mới.,Hiring and Training,B1,https://audio.tflat.vn/data/cache/images/300x225/k/e/keep_up_with.jpg,,,
look up to,/lʊk ʌp tuː/,v.,"Tôn kính, kính trọng, khâm phục",Staff members look up to the director because he has earned their respect over the years.,Tập thể nhân viên tôn kính người giám đốc vì ông đã được hưởng sự kính trọng của họ suốt những năm qua.,Hiring and Training,B1,https://audio.tflat.vn/data/cache/images/300x225/l/o/look_up_to.jpg,,,
mentor,/'mentɔ:/,n.,Thầy hướng dẫn,She is a friend and mentor to many children.,Cô ấy là một người bạn và người hướng dẫn của nhiều đứa trẻ.,Hiring and Training,B1,https://audio.tflat.vn/data/cache/images/300x225/m/e/mentor1.png,,,
on track,/ɒn trak/,n.,"Theo dõi, đi tìm",They're on track to make record profits,Họ đi tìm cách để tạo ra lợi nhuận đột phá.,Hiring and Training,B1,https://audio.tflat.vn/data/cache/images/300x225/o/n/on_track.jpg,,,
reject,/'ri:dʤekt/,n.,"Đồ thừa, đồ bỏ, phế phẩm",We put the rejects in this box.,Chúng tôi để những phế phẩm vào trong hộp này.,Hiring and Training,B1,https://audio.tflat.vn/data/images_example/300x225/w/e/we_put_the_ex1_56248d157f8b9a040dc65eb8.jpg,,,
set up,/'setʌp/,v.,"Thiết lập, tạo dựng",You should set up a time and place for the meeting and then inform everyone who is involved.,Bạn nên thiết lập một thời gian và địa điểm cho cuộc họp và sau đó thông báo cho tất cả những người có liên quan.,Hiring and Training,B1,https://audio.tflat.vn/data/cache/images/300x225/s/e/set_up.jpg,,,
success,/sək'ses/,n.,"‹sự/người› thành công, thành đạt, thắng lợi",The director's success came after years of hiring the right people at the right time.,Thành công của giám đốc đã đến sau hàng năm trời thuê đúng người vào đúng thời điểm.,Hiring and Training,B1,https://audio.tflat.vn/data/cache/images/300x225/s/u/success1.jpg,,,
training,/'treiniɳ/,n.,"‹sự› rèn luyện, tập luyện, huấn luyện, dạy dỗ, đào tạo","The new hire received such good training that, within a week, she was as productive as the other workers.","Người nhân viên mới nhận được sự huấn luyện tốt đến nỗi, trong vòng một tuần, cô đã có năng suất như là các công nhân khác.",Hiring and Training,B1,https://audio.tflat.vn/data/cache/images/300x225/t/r/training1.png,,,
update,/'ʌpdeit/,v.,Cập nhật,The personnel officer updated the employees on the latest personnel changes.,Thư ký văn phòng cập nhật cho nhân viên biết những thay đổi nhân sự mới nhất.,Hiring and Training,B1,https://audio.tflat.vn/data/cache/images/300x225/u/p/update1.jpg,,,
diversify,/dai'və:sifai/,v.,"Đa dạng hóa, thay đổi",The consultant that we hired recommends that we don't diversify at this time.,Nhà tư vấn mà chúng tôi thuê khuyên rằng chúng tôi không được thay đổi vào lúc này.,Ordering Supplies,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/diversify1.jpg,,,
enterprise,/'entəpraiz/,n.,"Hãng, công ty, xí nghiệp",The new enterprise quickly established an account with the office supply store.,"Công ty mới thiết lập một cách nhanh chóng bản thanh toán với cửa hàng đồ dùng văn phòng (bàn ghế, văn phòng phẩm, máy fax...).",Ordering Supplies,B1,https://audio.tflat.vn/data/cache/images/300x225/e/n/enterprise1.jpg,,,
essentially,/ɪˈsenʃəli/,adv.,Về cơ bản,"He was, essentially, a teacher, not a manager.",Về cơ bản thì anh ấy như là 1 giáo viên chứ không phải người quản lý.,Ordering Supplies,B1,https://audio.tflat.vn/data/cache/images/300x225/e/s/essentially1.jpg,,,
everyday,/'evridei/,adj.,"Hàng ngày, thường ngày, thông thường",This everyday routine of having to check inventory is boring.,Công việc thường ngày phải kiểm tra hàng tồn kho thì thật chán.,Ordering Supplies,B1,https://audio.tflat.vn/data/cache/images/300x225/e/v/everyday1.jpg,,,
function,/fʌŋkʃn/,n.,"Chức năng, nhiệm vụ",What is the function of this device?,Chức năng của thiết bị này là gì?,Ordering Supplies,B1,https://audio.tflat.vn/data/cache/images/300x225/f/u/function1.png,,,
maintain,/men'tein/,v.,Duy trì,Combining physical activity with a healthy diet is the best way to maintain a healthy body weight.,Kết hợp hoạt động thể chất với chế độ ăn uống lành mạnh là cách tốt nhất để duy trì trọng lượng cơ thể khỏe mạnh.,Ordering Supplies,B1,https://audio.tflat.vn/data/cache/images/300x225/m/a/maintain2.jpg,,,
obtain,/əb'tein/,v.,"Giành được, kiếm được (to acquire)",In the second experiment they obtained a very clear result.,"Ở thí nghiệm thứ hai, họ đạt được kết quả rất rõ ràng.",Ordering Supplies,B1,https://audio.tflat.vn/data/cache/images/300x225/o/b/obtain1.png,,,
prerequisite,/'pri:'rekwizit/,adj.,"(điều/điều kiện) tiên quyết, cần trước hết, đòi hỏi trước hết",Here are the prerequisites that you need to purchase before coming to class.,Đây là những thứ đòi hỏi trước hết mà bạn cần phải sắm trước khi vào lớp học.,Ordering Supplies,B1,https://audio.tflat.vn/data/images_example/300x225/h/e/here_are_t_ex1_580de4687f8b9a84688b459f.jpg,,,
quality,/'kwɔliti/,n.,"Chất lượng, phẩm chất",The quality of their clothes has fallen ever since they started using cheaper fabrics to make them.,Chất lượng quần áo của họ đã bị sa sút kể từ khi họ bắt đầu dùng các loại vải rẻ tiền hơn để làm ra chúng.,Ordering Supplies,B1,https://audio.tflat.vn/data/cache/images/300x225/q/u/quality1.jpg,,,
smooth,/smu:ð/,adj.,"Hòa nhã, lễ độ",Her smooth manner won her the appreciation of the manager but not her colleagues.,"Thái độ hòa nhã của cô ta đã thu được sự đánh giá cao của giám đốc, nhưng không (thu phục) được đồng nghiệp.",Ordering Supplies,B1,https://audio.tflat.vn/data/cache/images/300x225/s/m/smooth1.jpg,,,
source,/sɔ:s/,n.,"Nguồn, nguồn gốc",He got this information from different sources.,Anh ta nhận được thông tin này từ các nguồn khác nhau.,Ordering Supplies,B1,https://audio.tflat.vn/data/images_example/300x225/h/e/he_got_thi_ex1_56248d017f8b9afc0c298321.jpg,,,
stationery,/'steiʃnəri/,n.,Đồ dùng văn phòng (giấy để viết và bao thư),"We do not have enough stationery, so please order some more.","Chúng ta không có đủ giấy và bao thư, vậy hãy đặt hàng thêm một ít nữa.",Ordering Supplies,B1,https://audio.tflat.vn/data/cache/images/300x225/s/t/stationery1.png,,,
marketing,/ˈmɑːkɪtɪŋ/,n.,Ngành tiếp thị,She works in sales and marketing.,Cô ấy bán hàng và tiếp thị.,Marketing,B1,https://audio.tflat.vn/data/cache/images/300x225/m/a/marketing1.jpg,,,
attract,/ə'trækt/,v.,"Hấp dẫn, lôi cuốn, thu hút",The display attracted a number of people at the convention.,Việc trưng bày đã thu hút được một số người tại hội nghị.,Marketing,B1,https://audio.tflat.vn/data/cache/images/300x225/a/t/attract1.png,,,
compare,/kəm'peə/,v.,So sánh,Some parents want to compare their children with others’.,Nhiều bậc cha mẹ thích so sánh con của họ với con của người khác.,Marketing,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/compare1.png,,,
competition,"/,kɔmpi'tiʃn/",n.,Cuộc thi,Which team do you think will win that tug of war competition?,Bạn nghĩ đội nào sẽ thắng cuộc thi kéo co đó?,Marketing,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/competition.jpg,,,
consume,/kən'sju:m/,v.,"Tiêu thụ, tiêu dùng",People consume a good deal of sugar in drinks.,Mọi người tiêu dùng một lượng đường lớn trong đồ uống.,Marketing,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/consume1.png,,,
convince,/kən'vins/,v.,Thuyết phục,He convinced me that he was right.,Anh ấy đã thuyết phục tôi rằng anh ấy đã đúng.,Marketing,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/convince1.png,,,
currently,/ˈkʌrəntli/,adv.,"Hiện tại, lúc này","Currently, customers are demanding big discounts for bulk orders.","Hiện nay, khách hàng đang đòi hỏi những khoản giảm giá nhiều cho những đơn hàng lớn.",Marketing,B1,https://audio.tflat.vn/data/images_example/300x225/c/u/currently__ex1_56248d0c7f8b9a000de3d039.jpg,,,
fad,/fæd/,n.,Mốt nhất thời ,"The mini dress was a fad once thought to be finished, but now it is making a comeback.","Váy ngắn là mốt tạm thời mỗi khi ý tưởng bị hết, nhưng hiện giờ nó đang quay trở lại.",Marketing,B1,https://audio.tflat.vn/data/cache/images/300x225/f/a/fad1.png,,,
inspiration,"/,inspə'reiʃn/",n.,Cảm hứng,Nature is a source of inspiration for inventors.,Thiên nhiên là nguồn cảm hứng cho các nhà phát minh.,Marketing,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/inspiration2.jpg,,,
