id,word,pronunciation,part_of_speech,meaning_vi,example_en,example_vi,topic,level,image_url,collocations,synonyms,antonyms,created_at,updated_at,category,subcategory,lesson_unit
16,knowledge,/knowledge/,noun,kiến thức,I use the word ‘knowledge’ in a real conversation.,Tôi dùng từ ‘knowledge’ trong một cuộc trò chuyện thực tế.,School,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
17,colleague,/colleague/,adjective,đồng nghiệp,I use the word ‘colleague’ in a real conversation.,Tôi dùng từ ‘colleague’ trong một cuộc trò chuyện thực tế.,Work,A1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
18,meeting,/meeting/,adverb,cuộc họp,I use the word ‘meeting’ in a real conversation.,Tôi dùng từ ‘meeting’ trong một cuộc trò chuyện thực tế.,Work,A1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
19,project,/project/,noun,dự án,I use the word ‘project’ in a real conversation.,Tôi dùng từ ‘project’ trong một cuộc trò chuyện thực tế.,Work,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
20,salary,/salary/,verb,lương,I use the word ‘salary’ in a real conversation.,Tôi dùng từ ‘salary’ trong một cuộc trò chuyện thực tế.,Work,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
21,efficient,/efficient/,adjective,hiệu quả,I use the word ‘efficient’ in a real conversation.,Tôi dùng từ ‘efficient’ trong một cuộc trò chuyện thực tế.,Work,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
22,negotiate,/negotiate/,adverb,đàm phán,I use the word ‘negotiate’ in a real conversation.,Tôi dùng từ ‘negotiate’ trong một cuộc trò chuyện thực tế.,Work,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
23,responsibility,/responsibility/,noun,trách nhiệm,I use the word ‘responsibility’ in a real conversation.,Tôi dùng từ ‘responsibility’ trong một cuộc trò chuyện thực tế.,Work,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
24,achievement,/achievement/,verb,thành tựu,I use the word ‘achievement’ in a real conversation.,Tôi dùng từ ‘achievement’ trong một cuộc trò chuyện thực tế.,Work,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
25,journey,/journey/,adverb,hành trình,I use the word ‘journey’ in a real conversation.,Tôi dùng từ ‘journey’ trong một cuộc trò chuyện thực tế.,Travel,A1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
26,luggage,/luggage/,noun,hành lý,I use the word ‘luggage’ in a real conversation.,Tôi dùng từ ‘luggage’ trong một cuộc trò chuyện thực tế.,Travel,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
27,departure,/departure/,verb,khởi hành,I use the word ‘departure’ in a real conversation.,Tôi dùng từ ‘departure’ trong một cuộc trò chuyện thực tế.,Travel,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
28,destination,/destination/,adjective,điểm đến,I use the word ‘destination’ in a real conversation.,Tôi dùng từ ‘destination’ trong một cuộc trò chuyện thực tế.,Travel,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
29,book,/book/,adverb,đặt chỗ,I use the word ‘book’ in a real conversation.,Tôi dùng từ ‘book’ trong một cuộc trò chuyện thực tế.,Travel,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
30,explore,/explore/,noun,khám phá,I use the word ‘explore’ in a real conversation.,Tôi dùng từ ‘explore’ trong một cuộc trò chuyện thực tế.,Travel,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
31,accommodation,/accommodation/,verb,chỗ ở,I use the word ‘accommodation’ in a real conversation.,Tôi dùng từ ‘accommodation’ trong một cuộc trò chuyện thực tế.,Travel,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
32,itinerary,/itinerary/,adjective,lịch trình chuyến đi,I use the word ‘itinerary’ in a real conversation.,Tôi dùng từ ‘itinerary’ trong một cuộc trò chuyện thực tế.,Travel,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
33,ingredient,/ingredient/,noun,nguyên liệu,I use the word ‘ingredient’ in a real conversation.,Tôi dùng từ ‘ingredient’ trong một cuộc trò chuyện thực tế.,Food,A1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
34,delicious,/delicious/,verb,ngon,I use the word ‘delicious’ in a real conversation.,Tôi dùng từ ‘delicious’ trong một cuộc trò chuyện thực tế.,Food,A1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
35,recipe,/recipe/,adjective,công thức,I use the word ‘recipe’ in a real conversation.,Tôi dùng từ ‘recipe’ trong một cuộc trò chuyện thực tế.,Food,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
36,spicy,/spicy/,adverb,cay,I use the word ‘spicy’ in a real conversation.,Tôi dùng từ ‘spicy’ trong một cuộc trò chuyện thực tế.,Food,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
37,portion,/portion/,noun,khẩu phần,I use the word ‘portion’ in a real conversation.,Tôi dùng từ ‘portion’ trong một cuộc trò chuyện thực tế.,Food,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
38,nutritious,/nutritious/,verb,bổ dưỡng,I use the word ‘nutritious’ in a real conversation.,Tôi dùng từ ‘nutritious’ trong một cuộc trò chuyện thực tế.,Food,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
39,appetite,/appetite/,adjective,sự ngon miệng,I use the word ‘appetite’ in a real conversation.,Tôi dùng từ ‘appetite’ trong một cuộc trò chuyện thực tế.,Food,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
40,device,/device/,verb,thiết bị,I use the word ‘device’ in a real conversation.,Tôi dùng từ ‘device’ trong một cuộc trò chuyện thực tế.,Technology,A1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
41,password,/password/,adjective,mật khẩu,I use the word ‘password’ in a real conversation.,Tôi dùng từ ‘password’ trong một cuộc trò chuyện thực tế.,Technology,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
42,download,/download/,adverb,tải xuống,I use the word ‘download’ in a real conversation.,Tôi dùng từ ‘download’ trong một cuộc trò chuyện thực tế.,Technology,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
43,network,/network/,noun,mạng,I use the word ‘network’ in a real conversation.,Tôi dùng từ ‘network’ trong một cuộc trò chuyện thực tế.,Technology,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
44,software,/software/,verb,phần mềm,I use the word ‘software’ in a real conversation.,Tôi dùng từ ‘software’ trong một cuộc trò chuyện thực tế.,Technology,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
45,privacy,/privacy/,adjective,quyền riêng tư,I use the word ‘privacy’ in a real conversation.,Tôi dùng từ ‘privacy’ trong một cuộc trò chuyện thực tế.,Technology,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
46,innovative,/innovative/,adverb,đổi mới,I use the word ‘innovative’ in a real conversation.,Tôi dùng từ ‘innovative’ trong một cuộc trò chuyện thực tế.,Technology,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
47,exercise,/exercise/,adjective,tập thể dục,I use the word ‘exercise’ in a real conversation.,Tôi dùng từ ‘exercise’ trong một cuộc trò chuyện thực tế.,Health,A1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
48,healthy,/healthy/,adverb,khỏe mạnh,I use the word ‘healthy’ in a real conversation.,Tôi dùng từ ‘healthy’ trong một cuộc trò chuyện thực tế.,Health,A1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
49,symptom,/symptom/,noun,triệu chứng,I use the word ‘symptom’ in a real conversation.,Tôi dùng từ ‘symptom’ trong một cuộc trò chuyện thực tế.,Health,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
50,treatment,/treatment/,verb,điều trị,I use the word ‘treatment’ in a real conversation.,Tôi dùng từ ‘treatment’ trong một cuộc trò chuyện thực tế.,Health,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
51,recover,/recover/,adjective,hồi phục,I use the word ‘recover’ in a real conversation.,Tôi dùng từ ‘recover’ trong một cuộc trò chuyện thực tế.,Health,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
52,balanced,/balanced/,adverb,cân bằng,I use the word ‘balanced’ in a real conversation.,Tôi dùng từ ‘balanced’ trong một cuộc trò chuyện thực tế.,Health,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
53,well-being,/well-being/,noun,sức khỏe toàn diện,I use the word ‘well-being’ in a real conversation.,Tôi dùng từ ‘well-being’ trong một cuộc trò chuyện thực tế.,Health,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
54,nature,/nature/,adverb,thiên nhiên,I use the word ‘nature’ in a real conversation.,Tôi dùng từ ‘nature’ trong một cuộc trò chuyện thực tế.,Environment,A1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
55,recycle,/recycle/,noun,tái chế,I use the word ‘recycle’ in a real conversation.,Tôi dùng từ ‘recycle’ trong một cuộc trò chuyện thực tế.,Environment,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
56,pollution,/pollution/,verb,ô nhiễm,I use the word ‘pollution’ in a real conversation.,Tôi dùng từ ‘pollution’ trong một cuộc trò chuyện thực tế.,Environment,A2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
57,climate,/climate/,adjective,khí hậu,I use the word ‘climate’ in a real conversation.,Tôi dùng từ ‘climate’ trong một cuộc trò chuyện thực tế.,Environment,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
58,conserve,/conserve/,adverb,bảo tồn,I use the word ‘conserve’ in a real conversation.,Tôi dùng từ ‘conserve’ trong một cuộc trò chuyện thực tế.,Environment,B1,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
59,sustainable,/sustainable/,noun,bền vững,I use the word ‘sustainable’ in a real conversation.,Tôi dùng từ ‘sustainable’ trong một cuộc trò chuyện thực tế.,Environment,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
60,biodiversity,/biodiversity/,verb,đa dạng sinh học,I use the word ‘biodiversity’ in a real conversation.,Tôi dùng từ ‘biodiversity’ trong một cuộc trò chuyện thực tế.,Environment,B2,,,,,2026-09-02 17:06:50.317126+07:00,2026-09-02 17:06:50.317126+07:00,cefr,,
